team,rank,country,level,elo,from,to,league
Man City,1.0,ENG,1,2050.57299805,2024-05-20,2024-08-18,ENG-Premier League
Real Madrid,2.0,ESP,1,1997.41125488,2024-06-02,2024-08-18,ESP-La Liga
Inter,3.0,ITA,1,1964.77954102,2024-05-30,2024-08-17,ITA-Serie A
Arsenal,4.0,ENG,1,1946.90283203,2024-05-23,2024-08-17,ENG-Premier League
Leverkusen,5.0,GER,1,1925.04150391,2024-06-02,2024-08-22,GER-Bundesliga
Liverpool,6.0,ENG,1,1900.68835449,2024-06-02,2024-08-17,ENG-Premier League
Bayern,7.0,GER,1,1900.06628418,2024-06-02,2024-08-22,GER-Bundesliga
Atalanta,8.0,ITA,1,1884.4744873,2024-06-03,2024-08-17,ITA-Serie A
Barcelona,9.0,ESP,1,1882.09338379,2024-06-02,2024-08-16,ESP-La Liga
Paris SG,10.0,FRA,1,1880.65527344,2024-08-14,2024-08-16,FRA-Ligue 1
Dortmund,11.0,GER,1,1869.18908691,2024-06-02,2024-08-22,GER-Bundesliga
RB Leipzig,12.0,GER,1,1846.6940918,2024-06-02,2024-08-22,GER-Bundesliga
Milan,13.0,ITA,1,1838.72802734,2024-05-30,2024-08-17,ITA-Serie A
Atletico,14.0,ESP,1,1828.52355957,2024-06-02,2024-08-19,ESP-La Liga
Juventus,15.0,ITA,1,1827.82836914,2024-06-02,2024-08-19,ITA-Serie A
Roma,16.0,ITA,1,1812.41601562,2024-05-30,2024-08-15,ITA-Serie A
Sporting,17.0,POR,1,1811.15161133,2024-08-10,2024-08-15,
Chelsea,18.0,ENG,1,1810.11962891,2024-08-10,2024-08-18,ENG-Premier League
Stuttgart,19.0,GER,1,1808.23937988,2024-08-09,2024-08-18,GER-Bundesliga
Newcastle,20.0,ENG,1,1801.79711914,2024-05-25,2024-08-17,ENG-Premier League
Bologna,21.0,ITA,1,1795.25170898,2024-05-30,2024-08-18,ITA-Serie A
Girona,22.0,ESP,1,1793.73266602,2024-06-02,2024-08-15,ESP-La Liga
PSV,23.0,NED,1,1790.66088867,2024-08-14,2024-08-15,
Tottenham,24.0,ENG,1,1790.55664062,2024-08-09,2024-08-15,ENG-Premier League
Lazio,25.0,ITA,1,1784.74365234,2024-05-30,2024-08-15,ITA-Serie A
Porto,26.0,POR,1,1784.36071777,2024-08-11,2024-08-15,
Man United,27.0,ENG,1,1779.04394531,2024-08-02,2024-08-16,ENG-Premier League
Napoli,28.0,ITA,1,1778.8536377,2024-08-02,2024-08-18,ITA-Serie A
Fiorentina,29.0,ITA,1,1776.37329102,2024-06-03,2024-08-17,ITA-Serie A
Aston Villa,30.0,ENG,1,1770.43505859,2024-08-12,2024-08-17,ENG-Premier League
Sociedad,31.0,ESP,1,1766.55554199,2024-08-12,2024-08-17,ESP-La Liga
Monaco,32.0,FRA,1,1764.2989502,2024-08-14,2024-08-17,FRA-Ligue 1
Bilbao,33.0,ESP,1,1764.15380859,2024-08-14,2024-08-15,ESP-La Liga
Lille,34.0,FRA,1,1763.359375,2024-08-14,2024-08-15,FRA-Ligue 1
Crystal Palace,35.0,ENG,1,1759.70800781,2024-08-14,2024-08-15,ENG-Premier League
Benfica,36.0,POR,1,1752.08203125,2024-08-14,2024-08-15,
Feyenoord,37.0,NED,1,1749.88220215,2024-08-14,2024-08-15,
Villarreal,38.0,ESP,1,1742.09753418,2024-06-02,2024-08-15,ESP-La Liga
Torino,39.0,ITA,1,1738.89416504,2024-05-30,2024-08-15,ITA-Serie A
Slavia Praha,40.0,CZE,1,1730.19763184,2024-08-14,2024-08-15,
Marseille,41.0,FRA,1,1727.49853516,2024-08-14,2024-08-17,FRA-Ligue 1
West Ham,42.0,ENG,1,1726.24291992,2024-08-14,2024-08-17,ENG-Premier League
Lens,43.0,FRA,1,1722.39160156,2024-08-14,2024-08-18,FRA-Ligue 1
Galatasaray,44.0,TUR,1,1720.35412598,2024-08-14,2024-08-15,
Lyon,45.0,FRA,1,1716.43371582,2024-08-14,2024-08-15,FRA-Ligue 1
Fulham,46.0,ENG,1,1716.27636719,2024-08-14,2024-08-15,ENG-Premier League
Brighton,47.0,ENG,1,1713.16320801,2024-08-14,2024-08-15,ENG-Premier League
Brentford,48.0,ENG,1,1711.08398438,2024-08-14,2024-08-15,ENG-Premier League
Betis,49.0,ESP,1,1709.26013184,2024-08-14,2024-08-15,ESP-La Liga
Fenerbahce,50.0,TUR,1,1707.69934082,2024-08-14,2024-08-15,
Brest,51.0,FRA,1,1707.5859375,2024-08-14,2024-08-17,FRA-Ligue 1
Everton,52.0,ENG,1,1706.85083008,2024-08-14,2024-08-17,ENG-Premier League
Nice,53.0,FRA,1,1705.89599609,2024-08-14,2024-08-17,FRA-Ligue 1
Sparta Praha,54.0,CZE,1,1702.85375977,2024-08-14,2024-08-15,
Frankfurt,55.0,GER,1,1696.98669434,2024-08-14,2024-08-17,GER-Bundesliga
Rennes,56.0,FRA,1,1696.81506348,2024-08-14,2024-08-17,FRA-Ligue 1
Genoa,57.0,ITA,1,1696.19250488,2024-08-14,2024-08-17,ITA-Serie A
Mainz,58.0,GER,1,1693.44543457,2024-08-08,2024-08-15,GER-Bundesliga
Brugge,59.0,BEL,1,1693.22070312,2024-08-14,2024-08-15,
Bournemouth,60.0,ENG,1,1691.12365723,2024-08-11,2024-08-17,ENG-Premier League
Hoffenheim,61.0,GER,1,1683.03820801,2024-08-09,2024-08-17,GER-Bundesliga
Wolves,62.0,ENG,1,1677.86230469,2024-08-11,2024-08-15,ENG-Premier League
Freiburg,63.0,GER,1,1677.5723877,2024-08-11,2024-08-15,GER-Bundesliga
Sevilla,64.0,ESP,1,1676.25158691,2024-08-11,2024-08-15,ESP-La Liga
Salzburg,65.0,AUT,1,1674.82226562,2024-08-14,2024-08-15,
Werder,66.0,GER,1,1666.80993652,2024-08-14,2024-08-18,GER-Bundesliga
Zenit,67.0,RUS,1,1666.40637207,2024-08-14,2024-08-18,
Udinese,68.0,ITA,1,1666.17004395,2024-08-14,2024-08-18,ITA-Serie A
Monza,69.0,ITA,1,1664.85754395,2024-08-14,2024-08-17,ITA-Serie A
Valencia,70.0,ESP,1,1663.41638184,2024-08-14,2024-08-17,ESP-La Liga
Olympiakos,71.0,GRE,1,1661.72387695,2024-08-14,2024-08-15,
St Gillis,72.0,BEL,1,1658.37585449,2024-08-14,2024-08-15,
Celta,73.0,ESP,1,1653.12805176,2024-08-02,2024-08-16,ESP-La Liga
Wolfsburg,74.0,GER,1,1652.27380371,2024-08-08,2024-08-18,GER-Bundesliga
Gladbach,75.0,GER,1,1652.19067383,2024-08-08,2024-08-18,GER-Bundesliga
Osasuna,76.0,ESP,1,1651.60498047,2024-08-08,2024-08-17,ESP-La Liga
Montpellier,77.0,FRA,1,1649.05175781,2024-08-14,2024-08-17,FRA-Ligue 1
FC Kobenhavn,78.0,DEN,1,1648.63439941,2024-08-14,2024-08-15,
Forest,79.0,ENG,1,1647.71496582,2024-08-14,2024-08-15,ENG-Premier League
Toulouse,80.0,FRA,1,1647.34899902,2024-08-14,2024-08-15,FRA-Ligue 1
Heidenheim,81.0,GER,1,1646.39916992,2024-08-12,2024-08-15,GER-Bundesliga
Alaves,82.0,ESP,1,1645.66687012,2024-08-12,2024-08-15,ESP-La Liga
Leicester,83.0,ENG,1,1643.66943359,2024-08-14,2024-08-16,ENG-Premier League
Mallorca,84.0,ESP,1,1642.41369629,2024-08-14,2024-08-15,ESP-La Liga
Verona,85.0,ITA,1,1639.8404541,2024-08-14,2024-08-15,ITA-Serie A
Union Berlin,86.0,GER,1,1639.59411621,2024-08-14,2024-08-15,GER-Bundesliga
Celtic,87.0,SCO,1,1638.94592285,2024-08-14,2024-08-15,
Empoli,88.0,ITA,1,1638.60705566,2024-08-14,2024-08-17,ITA-Serie A
Reims,89.0,FRA,1,1636.87683105,2024-08-14,2024-08-15,FRA-Ligue 1
Anderlecht,90.0,BEL,1,1636.19458008,2024-08-14,2024-08-15,
Midtjylland,91.0,DEN,1,1632.31567383,2024-08-14,2024-08-15,
Karabakh Agdam,92.0,AZE,0,1632.1784668,2024-08-14,2024-08-15,
Braga,93.0,POR,1,1630.89453125,2024-08-14,2024-08-15,
Getafe,94.0,ESP,1,1626.93151855,2024-08-14,2024-08-15,ESP-La Liga
Augsburg,95.0,GER,1,1626.43786621,2024-08-14,2024-08-15,GER-Bundesliga
Burnley,96.0,ENG,2,1625.59960938,2024-08-14,2024-08-15,
Bodoe Glimt,97.0,NOR,1,1625.39294434,2024-08-14,2024-08-15,
Ajax,98.0,NED,1,1625.13647461,2024-08-14,2024-08-15,
Twente,99.0,NED,1,1619.82373047,2024-08-14,2024-08-15,
Lecce,100.0,ITA,1,1618.49060059,2024-08-14,2024-08-15,ITA-Serie A
PAOK,,GRE,1,1613.32629395,2024-08-14,2024-08-15,
Rayo Vallecano,,ESP,1,1612.1784668,2024-06-02,2024-08-17,ESP-La Liga
Nordsjaelland,,DEN,1,1612.11340332,2024-08-14,2024-08-15,
Strasbourg,,FRA,1,1611.98986816,2024-08-14,2024-08-18,FRA-Ligue 1
Cagliari,,ITA,1,1611.59204102,2024-05-30,2024-08-18,ITA-Serie A
Frosinone,,ITA,2,1610.27258301,2024-07-04,2024-08-18,
Gent,,BEL,1,1602.85961914,2024-08-14,2024-08-15,
Duesseldorf,,GER,2,1602.80297852,2024-08-11,2024-08-22,
AEK,,GRE,1,1600.28039551,2024-08-14,2024-08-15,
Leeds,,ENG,2,1600.17248535,2024-08-11,2024-08-17,
Espanyol,,ESP,1,1600.11877441,2024-07-04,2024-08-19,ESP-La Liga
Southampton,,ENG,1,1599.60339355,2024-07-04,2024-08-17,ENG-Premier League
St Pauli,,GER,1,1598.63818359,2024-07-04,2024-08-22,GER-Bundesliga
Bochum,,GER,1,1596.98461914,2024-06-02,2024-08-22,GER-Bundesliga
Sturm Graz,,AUT,1,1596.48901367,2024-08-14,2024-08-15,
Sassuolo,,ITA,2,1596.24829102,2024-07-04,2024-08-18,
Valladolid,,ESP,1,1593.77954102,2024-07-04,2024-08-19,ESP-La Liga
Koeln,,GER,2,1592.20800781,2024-08-11,2024-08-22,
Viktoria Plzen,,CZE,1,1591.99536133,2024-08-14,2024-08-15,
Cadiz,,ESP,2,1590.99645996,2024-07-04,2024-08-16,
Alkmaar,,NED,1,1590.31616211,2024-08-14,2024-08-15,
Shakhtar,,UKR,1,1589.98596191,2024-08-14,2024-08-15,
Rangers,,SCO,1,1589.33789062,2024-08-14,2024-08-15,
Las Palmas,,ESP,1,1588.57495117,2024-06-02,2024-08-16,ESP-La Liga
M Tel Aviv,,ISR,1,1586.5045166,2024-08-09,2024-08-15,
Antwerp,,BEL,1,1581.49560547,2024-08-14,2024-08-15,
Guimaraes,,POR,1,1581.45629883,2024-08-13,2024-08-15,
Hamburg,,GER,2,1578.15527344,2024-08-11,2024-08-22,
Holstein,,GER,1,1573.51721191,2024-07-04,2024-08-22,GER-Bundesliga
Dinamo Zagreb,,CRO,1,1573.06713867,2024-08-12,2024-08-15,
Parma,,ITA,1,1571.97216797,2024-07-04,2024-08-17,ITA-Serie A
Brondby,,DEN,1,1571.92724609,2024-08-14,2024-08-15,
Maccabi Haifa,,ISR,1,1568.59997559,2024-08-09,2024-08-15,
Ipswich,,ENG,1,1568.32556152,2024-07-04,2024-08-17,ENG-Premier League
