team,rank,country,level,elo,from,to,league
Liverpool,1.0,ENG,1,2009.3848877,2024-12-30,2024-12-31,ENG-Premier League
Inter,2.0,ITA,1,1993.51904297,2024-12-29,2024-12-31,ITA-Serie A
Arsenal,3.0,ENG,1,1985.33520508,2024-12-28,2024-12-31,ENG-Premier League
Real Madrid,4.0,ESP,1,1949.76184082,2024-12-23,2024-12-31,ESP-La Liga
Man City,5.0,ENG,1,1940.04760742,2024-12-30,2024-12-31,ENG-Premier League
Atalanta,6.0,ITA,1,1919.76953125,2024-12-29,2024-12-31,ITA-Serie A
Leverkusen,7.0,GER,1,1906.35351562,2024-12-22,2024-12-31,GER-Bundesliga
Bayern,8.0,GER,1,1903.53625488,2024-12-22,2024-12-31,GER-Bundesliga
Paris SG,9.0,FRA,1,1900.93969727,2024-12-22,2024-12-31,FRA-Ligue 1
Barcelona,10.0,ESP,1,1892.0892334,2024-12-27,2024-12-31,ESP-La Liga
Atletico,11.0,ESP,1,1865.86779785,2024-12-31,2024-12-31,ESP-La Liga
Chelsea,12.0,ENG,1,1864.34838867,2024-12-31,2024-12-31,ENG-Premier League
Juventus,13.0,ITA,1,1859.93188477,2024-12-30,2024-12-31,ITA-Serie A
Newcastle,14.0,ENG,1,1840.6036377,2024-12-31,2024-12-31,ENG-Premier League
Milan,15.0,ITA,1,1836.79907227,2024-12-31,2024-12-31,ITA-Serie A
Napoli,16.0,ITA,1,1835.23181152,2024-12-31,2024-12-31,ITA-Serie A
Lazio,17.0,ITA,1,1829.7479248,2024-12-31,2024-12-31,ITA-Serie A
Sporting,18.0,POR,1,1827.13024902,2024-12-30,2024-12-31,
PSV,19.0,NED,1,1816.71459961,2024-12-23,2024-12-31,
Lille,20.0,FRA,1,1815.86340332,2024-12-22,2024-12-31,FRA-Ligue 1
Dortmund,21.0,GER,1,1815.07165527,2024-12-23,2024-12-31,GER-Bundesliga
Bilbao,22.0,ESP,1,1810.31091309,2024-12-27,2024-12-31,ESP-La Liga
Tottenham,23.0,ENG,1,1799.62744141,2024-12-31,2024-12-31,ENG-Premier League
Aston Villa,24.0,ENG,1,1799.41162109,2024-12-31,2024-12-31,ENG-Premier League
Benfica,25.0,POR,1,1792.0814209,2024-12-30,2024-12-31,
Porto,26.0,POR,1,1791.88464355,2024-12-29,2024-12-31,
Fiorentina,27.0,ITA,1,1789.76196289,2024-12-30,2024-12-31,ITA-Serie A
Bournemouth,28.0,ENG,1,1773.63903809,2024-12-31,2024-12-31,ENG-Premier League
Fulham,29.0,ENG,1,1771.66394043,2024-12-31,2024-12-31,ENG-Premier League
Monaco,30.0,FRA,1,1771.27490234,2024-12-31,2024-12-31,FRA-Ligue 1
Bologna,31.0,ITA,1,1768.99536133,2024-12-31,2024-12-31,ITA-Serie A
Forest,32.0,ENG,1,1766.3626709,2024-12-31,2024-12-31,ENG-Premier League
Marseille,33.0,FRA,1,1764.66650391,2024-12-31,2024-12-31,FRA-Ligue 1
Roma,34.0,ITA,1,1757.65783691,2024-12-31,2024-12-31,ITA-Serie A
Crystal Palace,35.0,ENG,1,1756.65026855,2024-12-31,2024-12-31,ENG-Premier League
Man United,36.0,ENG,1,1756.40222168,2024-12-31,2024-12-31,ENG-Premier League
Brighton,37.0,ENG,1,1753.26464844,2024-12-31,2024-12-31,ENG-Premier League
Lyon,38.0,FRA,1,1750.54736328,2024-12-31,2024-12-31,FRA-Ligue 1
RB Leipzig,39.0,GER,1,1750.37084961,2024-12-31,2024-12-31,GER-Bundesliga
Feyenoord,40.0,NED,1,1748.09375,2024-12-27,2024-12-31,
Stuttgart,41.0,GER,1,1743.98120117,2024-12-22,2024-12-31,GER-Bundesliga
Brugge,42.0,BEL,1,1739.70080566,2024-12-27,2024-12-31,
Villarreal,43.0,ESP,1,1737.39111328,2024-12-30,2024-12-31,ESP-La Liga
Sociedad,44.0,ESP,1,1736.19055176,2024-12-30,2024-12-31,ESP-La Liga
Brentford,45.0,ENG,1,1734.68359375,2024-12-30,2024-12-31,ENG-Premier League
West Ham,46.0,ENG,1,1731.68566895,2024-12-30,2024-12-31,ENG-Premier League
Lens,47.0,FRA,1,1719.2232666,2024-12-30,2024-12-31,FRA-Ligue 1
Frankfurt,48.0,GER,1,1718.16870117,2024-12-30,2024-12-31,GER-Bundesliga
Girona,49.0,ESP,1,1717.32397461,2024-12-30,2024-12-31,ESP-La Liga
Galatasaray,50.0,TUR,1,1714.02648926,2024-12-30,2024-12-31,
Torino,51.0,ITA,1,1713.20361328,2024-12-30,2024-12-31,ITA-Serie A
Brest,52.0,FRA,1,1710.02697754,2024-12-30,2024-12-31,FRA-Ligue 1
Everton,53.0,ENG,1,1709.59802246,2024-12-30,2024-12-31,ENG-Premier League
Mainz,54.0,GER,1,1709.29589844,2024-12-22,2024-12-31,GER-Bundesliga
Celtic,55.0,SCO,1,1703.24353027,2024-12-30,2024-12-31,
Slavia Praha,56.0,CZE,1,1696.82727051,2024-12-22,2024-12-31,
Wolves,57.0,ENG,1,1686.93383789,2024-12-30,2024-12-31,ENG-Premier League
Genoa,58.0,ITA,1,1682.75366211,2024-12-30,2024-12-31,ITA-Serie A
Betis,59.0,ESP,1,1681.00146484,2024-12-29,2024-12-31,ESP-La Liga
Werder,60.0,GER,1,1678.71411133,2024-12-29,2024-12-31,GER-Bundesliga
Ajax,61.0,NED,1,1678.3137207,2024-12-29,2024-12-31,
Fenerbahce,62.0,TUR,1,1675.58837891,2024-12-30,2024-12-31,
Udinese,63.0,ITA,1,1675.56884766,2024-12-30,2024-12-31,ITA-Serie A
Freiburg,64.0,GER,1,1673.98876953,2024-12-29,2024-12-31,GER-Bundesliga
St Gillis,65.0,BEL,1,1672.55651855,2024-12-27,2024-12-31,
Nice,66.0,FRA,1,1671.20947266,2024-12-27,2024-12-31,FRA-Ligue 1
Gladbach,67.0,GER,1,1663.31665039,2024-12-28,2024-12-31,GER-Bundesliga
Mallorca,68.0,ESP,1,1663.12963867,2024-12-28,2024-12-31,ESP-La Liga
Toulouse,69.0,FRA,1,1662.26672363,2024-12-29,2024-12-31,FRA-Ligue 1
Rennes,70.0,FRA,1,1661.25073242,2024-12-29,2024-12-31,FRA-Ligue 1
Wolfsburg,71.0,GER,1,1660.85766602,2024-12-30,2024-12-31,GER-Bundesliga
Osasuna,72.0,ESP,1,1660.63745117,2024-12-30,2024-12-31,ESP-La Liga
Leeds,73.0,ENG,2,1659.88317871,2024-12-30,2024-12-31,
Burnley,74.0,ENG,2,1659.62683105,2024-12-30,2024-12-31,
Sevilla,75.0,ESP,1,1657.78125,2024-12-30,2024-12-31,ESP-La Liga
Celta,76.0,ESP,1,1655.64904785,2024-12-30,2024-12-31,ESP-La Liga
Anderlecht,77.0,BEL,1,1655.3894043,2024-12-29,2024-12-31,
Empoli,78.0,ITA,1,1653.36743164,2024-12-29,2024-12-31,ITA-Serie A
Reims,79.0,FRA,1,1650.95837402,2024-12-27,2024-12-31,FRA-Ligue 1
Olympiakos,80.0,GRE,1,1638.91162109,2024-12-27,2024-12-31,
Sassuolo,81.0,ITA,2,1635.22143555,2024-12-30,2024-12-31,
Zenit,82.0,RUS,1,1634.92004395,2024-12-29,2024-12-31,
Rayo Vallecano,83.0,ESP,1,1631.42919922,2024-12-30,2024-12-31,ESP-La Liga
Monza,84.0,ITA,1,1630.19128418,2024-12-30,2024-12-31,ITA-Serie A
Genk,85.0,BEL,1,1629.46069336,2024-12-30,2024-12-31,
Leicester,86.0,ENG,1,1627.46325684,2024-12-30,2024-12-31,ENG-Premier League
Braga,87.0,POR,1,1625.06262207,2024-12-30,2024-12-31,
Sparta Praha,88.0,CZE,1,1624.62243652,2024-12-27,2024-12-31,
Verona,89.0,ITA,1,1623.94848633,2024-12-31,2024-12-31,ITA-Serie A
Strasbourg,90.0,FRA,1,1621.11376953,2024-12-31,2024-12-31,FRA-Ligue 1
Alaves,91.0,ESP,1,1618.25793457,2024-12-31,2024-12-31,ESP-La Liga
Union Berlin,92.0,GER,1,1616.83251953,2024-12-31,2024-12-31,GER-Bundesliga
Twente,93.0,NED,1,1614.98486328,2024-12-31,2024-12-31,
Las Palmas,94.0,ESP,1,1614.47460938,2024-12-31,2024-12-31,ESP-La Liga
Viktoria Plzen,95.0,CZE,1,1613.38061523,2024-12-30,2024-12-31,
Hoffenheim,96.0,GER,1,1613.27770996,2024-12-30,2024-12-31,GER-Bundesliga
Valencia,97.0,ESP,1,1612.65710449,2024-12-30,2024-12-31,ESP-La Liga
Crvena Zvezda,98.0,SRB,1,1612.23632812,2024-12-30,2024-12-31,
Alkmaar,99.0,NED,1,1610.66149902,2024-12-31,2024-12-31,
Rangers,100.0,SCO,1,1610.17199707,2024-12-31,2024-12-31,
Auxerre,,FRA,1,1609.45129395,2024-12-15,2024-12-31,FRA-Ligue 1
Getafe,,ESP,1,1608.5324707,2024-12-22,2024-12-31,ESP-La Liga
Ipswich,,ENG,1,1605.53735352,2024-12-31,2024-12-31,ENG-Premier League
Lecce,,ITA,1,1602.65246582,2024-12-31,2024-12-31,ITA-Serie A
Sheffield United,,ENG,2,1601.26757812,2024-12-30,2024-12-31,
Parma,,ITA,1,1598.79650879,2024-12-29,2024-12-31,ITA-Serie A
Cagliari,,ITA,1,1597.95153809,2024-12-29,2024-12-31,ITA-Serie A
Guimaraes,,POR,1,1596.13134766,2024-12-30,2024-12-31,
FC Krasnodar,,RUS,1,1595.18713379,2024-12-09,2024-12-31,
Spartak Moskva,,RUS,1,1590.59326172,2024-12-08,2024-12-31,
Antwerp,,BEL,1,1589.61425781,2024-12-27,2024-12-31,
Como,,ITA,1,1587.39611816,2024-12-31,2024-12-31,ITA-Serie A
Augsburg,,GER,1,1585.06091309,2024-12-22,2024-12-31,GER-Bundesliga
Montpellier,,FRA,1,1584.84143066,2024-12-16,2024-12-31,FRA-Ligue 1
PAOK,,GRE,1,1584.82446289,2024-12-23,2024-12-31,
Sturm Graz,,AUT,1,1584.32507324,2024-12-20,2024-12-31,
Gent,,BEL,1,1583.52209473,2024-12-27,2024-12-31,
Bodoe Glimt,,NOR,1,1582.45214844,2024-12-20,2024-12-31,
Lorient,,FRA,2,1582.41320801,2024-12-15,2024-12-31,
FC Kobenhavn,,DEN,1,1581.38916016,2024-12-20,2024-12-31,
St Pauli,,GER,1,1578.01696777,2024-12-22,2024-12-31,GER-Bundesliga
Almeria,,ESP,2,1576.32495117,2024-12-23,2024-12-31,
Espanyol,,ESP,1,1574.23815918,2024-12-23,2024-12-31,ESP-La Liga
Leganes,,ESP,1,1572.94177246,2024-12-23,2024-12-31,ESP-La Liga
Venezia,,ITA,1,1570.87841797,2024-12-30,2024-12-31,ITA-Serie A
Koeln,,GER,2,1569.69934082,2024-12-23,2024-12-31,
Southampton,,ENG,1,1569.21118164,2024-12-30,2024-12-31,ENG-Premier League
AEK,,GRE,1,1561.48083496,2024-12-23,2024-12-31,
Midtjylland,,DEN,1,1559.75537109,2024-12-20,2024-12-31,
Utrecht,,NED,1,1559.13220215,2024-12-23,2024-12-31,
Heidenheim,,GER,1,1558.4029541,2024-12-23,2024-12-31,GER-Bundesliga
Salzburg,,AUT,1,1556.88085938,2024-12-20,2024-12-31,
West Brom,,ENG,2,1554.58886719,2024-12-30,2024-12-31,
Middlesbrough,,ENG,2,1553.27685547,2024-12-30,2024-12-31,
Dynamo Moskva,,RUS,1,1552.93725586,2024-12-09,2024-12-31,
Panathinaikos,,GRE,1,1550.95605469,2024-12-23,2024-12-31,
Brondby,,DEN,1,1548.23352051,2024-12-20,2024-12-31,
Hamburg,,GER,2,1548.15368652,2024-12-22,2024-12-31,
Nantes,,FRA,1,1547.92626953,2024-12-16,2024-12-31,FRA-Ligue 1
Lok Moskva,,RUS,1,1547.65649414,2024-12-09,2024-12-31,
Elche,,ESP,2,1547.5579834,2024-12-23,2024-12-31,
Valladolid,,ESP,1,1547.41723633,2024-12-21,2024-12-31,ESP-La Liga
Levante,,ESP,2,1547.10961914,2024-12-23,2024-12-31,
CSKA Moskva,,RUS,1,1546.19458008,2024-12-09,2024-12-31,
Metz,,FRA,2,1543.74560547,2024-12-15,2024-12-31,
Oviedo,,ESP,2,1543.72668457,2024-12-22,2024-12-31,
Maccabi Haifa,,ISR,1,1543.30407715,2024-12-13,2024-12-31,
Nordsjaelland,,DEN,1,1541.03308105,2024-12-20,2024-12-31,
Shakhtar,,UKR,1,1539.86889648,2024-12-16,2024-12-31,
Granada,,ESP,2,1539.22509766,2024-12-22,2024-12-31,
Pisa,,ITA,2,1539.09631348,2024-12-30,2024-12-31,
Spezia,,ITA,2,1537.20495605,2024-12-30,2024-12-31,
M Tel Aviv,,ISR,1,1534.82897949,2024-12-17,2024-12-31,
Razgrad,,BUL,1,1534.09570312,2024-12-20,2024-12-31,
Cremonese,,ITA,2,1532.7220459,2024-12-30,2024-12-31,
Bochum,,GER,1,1532.21777344,2024-12-23,2024-12-31,GER-Bundesliga
Sunderland,,ENG,2,1531.59313965,2024-12-30,2024-12-31,
Dinamo Zagreb,,CRO,1,1528.93554688,2024-12-23,2024-12-31,
Mechelen,,BEL,1,1527.90234375,2024-12-27,2024-12-31,
